id,name,type,source,collectedAt,taskId,status,version,packageId
EVD-001-01,Audit report,audit-artifact,INC-001,2026-05-03 17:36,,collected,1.0,EPKG-INC-001
EVD-001-02,Fire panel logs,audit-artifact,INC-001,2026-05-03 17:36,,collected,1.0,EPKG-INC-001
EVD-001-03,AMC expiry report,audit-artifact,INC-001,2026-05-03 17:36,,collected,1.0,EPKG-INC-001
EVD-001-04,Calibration certificate,audit-artifact,INC-001,2026-05-03 17:36,,collected,1.0,EPKG-INC-001
EVD-001-05,Vendor email trail,audit-artifact,INC-001,2026-05-03 17:36,,collected,1.0,EPKG-INC-001
EVD-002-01,SCADA logs,audit-artifact,INC-002,2026-05-04 21:45,,collected,1.0,EPKG-INC-002
EVD-002-02,Pressure trends,audit-artifact,INC-002,2026-05-04 21:45,,collected,1.0,EPKG-INC-002
EVD-002-03,Batch records,audit-artifact,INC-002,2026-05-04 21:45,,collected,1.0,EPKG-INC-002
EVD-002-04,Alarm logs,audit-artifact,INC-002,2026-05-04 21:45,,collected,1.0,EPKG-INC-002
EVD-002-05,Calibration report,audit-artifact,INC-002,2026-05-04 21:45,,collected,1.0,EPKG-INC-002
EVD-003-01,ATP reports,audit-artifact,INC-003,2026-05-05 19:12,,collected,1.0,EPKG-INC-003
EVD-003-02,Microbiology reports,audit-artifact,INC-003,2026-05-05 19:12,,collected,1.0,EPKG-INC-003
EVD-003-03,Cleaning logs,audit-artifact,INC-003,2026-05-05 19:12,,collected,1.0,EPKG-INC-003
EVD-003-04,Operator checklist,audit-artifact,INC-003,2026-05-05 19:12,,collected,1.0,EPKG-INC-003
EVD-004-01,Conductivity logs,audit-artifact,INC-004,2026-05-06 22:53,,collected,1.0,EPKG-INC-004
EVD-004-02,Lab reports,audit-artifact,INC-004,2026-05-06 22:53,,collected,1.0,EPKG-INC-004
EVD-004-03,Maintenance records,audit-artifact,INC-004,2026-05-06 22:53,,collected,1.0,EPKG-INC-004
EVD-004-04,Sensor trends,audit-artifact,INC-004,2026-05-06 22:53,,collected,1.0,EPKG-INC-004
EVD-005-01,CCTV footage,audit-artifact,INC-005,2026-05-07 18:23,,collected,1.0,EPKG-INC-005
EVD-005-02,Incident photos,audit-artifact,INC-005,2026-05-07 18:23,,collected,1.0,EPKG-INC-005
EVD-005-03,Witness statements,audit-artifact,INC-005,2026-05-07 18:23,,collected,1.0,EPKG-INC-005
EVD-005-04,Inspection checklist,audit-artifact,INC-005,2026-05-07 18:23,,collected,1.0,EPKG-INC-005
EVD-006-01,Calibration certificate,audit-artifact,INC-006,2026-05-08 19:27,,collected,1.0,EPKG-INC-006
EVD-006-02,Weight logs,audit-artifact,INC-006,2026-05-08 19:27,,collected,1.0,EPKG-INC-006
EVD-006-03,QA batch reports,audit-artifact,INC-006,2026-05-08 19:27,,collected,1.0,EPKG-INC-006
EVD-006-04,Audit observations,audit-artifact,INC-006,2026-05-08 19:27,,collected,1.0,EPKG-INC-006
EVD-007-01,SIEM logs,audit-artifact,INC-007,2026-05-10 00:43,,collected,1.0,EPKG-INC-007
EVD-007-02,Firewall logs,audit-artifact,INC-007,2026-05-10 00:43,,collected,1.0,EPKG-INC-007
EVD-007-03,Switch diagnostics,audit-artifact,INC-007,2026-05-10 00:43,,collected,1.0,EPKG-INC-007
EVD-007-04,Alert history,audit-artifact,INC-007,2026-05-10 00:43,,collected,1.0,EPKG-INC-007
