id,name,description
CA-001,Fire Detection & Alarm Systems,"Smoke/heat detection, fire alarm panels, and voice evacuation systems across warehouses."
CA-002,Fire Suppression Systems,"Hydrants, sprinklers/ESFR, fire pump houses, and portable fire extinguishers."
CA-003,Emergency Preparedness & Response,"Evacuation drills, emergency response team readiness, and mutual-aid coordination."
CA-004,Occupational Health & Safety (EHS),"Machinery, MHE/forklift, PPE, and general workplace safety controls."
CA-005,Hazardous Materials & Chemical Safety,"Storage, handling, and permit compliance for flammable and hazardous substances."
CA-006,Waste Management,"Segregation, storage, and licensed disposal of general and hazardous waste."
CA-007,Facilities & Asset Maintenance (FM),"Preventive maintenance of MEP, racking, MHE, and utility assets."
CA-008,Environmental Compliance,"Effluent, emissions, and environmental permit conformance."
CA-009,Hazard & Risk Assessment,"Structured hazard identification, risk register review, and audit closure."
CA-010,Insurance Compliance & Risk Mitigation,Conformance with insurer warranty clauses and risk-engineering recommendations affecting premiums.
