id,name,authorityId,jurisdictionId,effectiveDate,effectiveFrom,catalogVersion,description
REG-001,"National Building Code of India (NBC) 2016, Part 4 - Fire and Life Safety",AUTH-001,JUR-INDIA,2017-01-01,2017-01-01,1.0,"Prescribes fire and life safety design, means of escape, and fire protection system requirements for buildings including warehouses."
REG-002,State Fire Prevention and Life Safety Act / Fire NOC Rules,AUTH-002,JUR-INDIA,2015-04-01,2015-04-01,1.0,"Governs issuance and renewal of Fire NOC, mandatory fire fighting installations, and periodic fire safety audits for industrial premises."
REG-003,Factories Act 1948 and State Factories Rules,AUTH-003,JUR-INDIA,1948-09-23,1948-09-23,1.0,"Governs occupational health, safety, and welfare of workers, including machinery guarding, hazardous processes, and safety officers."
REG-004,Hazardous and Other Wastes (Management and Transboundary Movement) Rules 2016,AUTH-004,JUR-INDIA,2016-04-04,2016-04-04,1.0,"Regulates generation, storage, handling, and disposal of hazardous waste including used oil, batteries, and packaging waste."
REG-005,Solid Waste Management Rules 2016,AUTH-004,JUR-INDIA,2016-04-08,2016-04-08,1.0,"Governs segregation, collection, storage, and disposal of solid/dry waste generated at industrial and warehousing premises."
REG-006,Static and Mobile Pressure Vessels (Unfired) Rules / Petroleum Rules,AUTH-005,JUR-INDIA,2016-08-01,2016-08-01,1.0,"Regulates storage and handling licences for flammable gases, petroleum products, and pressure vessels used in warehouse operations."
REG-007,Regulatory Reform (Fire Safety) Order 2005 (RRFSO),AUTH-007,JUR-UK,2006-10-01,2006-10-01,1.0,Primary UK fire safety legislation requiring a Responsible Person to carry out fire risk assessments and maintain fire precautions.
REG-008,"Building Regulations 2010, Approved Document B - Fire Safety",AUTH-006,JUR-UK,2010-10-01,2010-10-01,1.0,"Sets means of escape, fire compartmentation, and fire protection system design standards for non-domestic buildings including warehouses."
REG-009,Health and Safety at Work etc. Act 1974,AUTH-006,JUR-UK,1974-07-31,1974-07-31,1.0,"General duty legislation requiring employers to ensure health, safety, and welfare of employees and others affected by work activities."
REG-010,Control of Major Accident Hazards (COMAH) Regulations 2015,AUTH-006,JUR-UK,2015-06-01,2015-06-01,1.0,"Regulates sites storing hazardous substances above threshold quantities, requiring major accident prevention policies and safety reports."
REG-011,Environmental Permitting (England and Wales) Regulations 2016,AUTH-008,JUR-UK,2016-01-01,2016-01-01,1.0,"Governs environmental permits for waste operations, hazardous waste storage, and pollution prevention at industrial sites."
