id,name,taskId,cadenceUnit,cadenceInterval,anchorDate
SCH-TSK-0001,Schedule - TSK-0001,TSK-0001,month,1,2026-01-01
SCH-TSK-0002,Schedule - TSK-0002,TSK-0002,month,3,2026-01-22
SCH-TSK-0003,Schedule - TSK-0003,TSK-0003,week,1,2026-02-12
SCH-TSK-0004,Schedule - TSK-0004,TSK-0004,month,1,2026-03-05
SCH-TSK-0005,Schedule - TSK-0005,TSK-0005,month,3,2026-03-26
SCH-TSK-0006,Schedule - TSK-0006,TSK-0006,month,6,2026-04-16
SCH-TSK-0007,Schedule - TSK-0007,TSK-0007,month,1,2026-05-07
SCH-TSK-0009,Schedule - TSK-0009,TSK-0009,month,3,2026-06-18
SCH-TSK-0010,Schedule - TSK-0010,TSK-0010,month,6,2026-07-09
SCH-TSK-0011,Schedule - TSK-0011,TSK-0011,month,1,2026-07-30
SCH-TSK-0012,Schedule - TSK-0012,TSK-0012,month,3,2026-08-20
SCH-TSK-0013,Schedule - TSK-0013,TSK-0013,week,1,2026-09-10
SCH-TSK-0014,Schedule - TSK-0014,TSK-0014,month,1,2026-10-01
SCH-TSK-0015,Schedule - TSK-0015,TSK-0015,month,6,2026-10-22
SCH-TSK-0016,Schedule - TSK-0016,TSK-0016,month,12,2026-11-12
SCH-TSK-0017,Schedule - TSK-0017,TSK-0017,month,3,2026-12-03
SCH-TSK-0018,Schedule - TSK-0018,TSK-0018,month,6,2026-12-24
SCH-TSK-0019,Schedule - TSK-0019,TSK-0019,month,12,2026-01-15
SCH-TSK-0021,Schedule - TSK-0021,TSK-0021,week,1,2026-02-26
SCH-TSK-0022,Schedule - TSK-0022,TSK-0022,month,1,2026-03-19
SCH-TSK-0023,Schedule - TSK-0023,TSK-0023,day,1,2026-04-09
SCH-TSK-0024,Schedule - TSK-0024,TSK-0024,week,1,2026-04-30
SCH-TSK-0027,Schedule - TSK-0027,TSK-0027,month,1,2026-07-02
SCH-TSK-0028,Schedule - TSK-0028,TSK-0028,month,3,2026-07-23
SCH-TSK-0029,Schedule - TSK-0029,TSK-0029,week,1,2026-08-13
SCH-TSK-0030,Schedule - TSK-0030,TSK-0030,hour,1,2026-09-03
SCH-TSK-0031,Schedule - TSK-0031,TSK-0031,month,1,2026-09-24
SCH-TSK-0032,Schedule - TSK-0032,TSK-0032,month,3,2026-10-15
SCH-TSK-0033,Schedule - TSK-0033,TSK-0033,day,1,2026-11-05
SCH-TSK-0034,Schedule - TSK-0034,TSK-0034,week,1,2026-11-26
SCH-TSK-0035,Schedule - TSK-0035,TSK-0035,month,1,2026-12-17
SCH-TSK-0036,Schedule - TSK-0036,TSK-0036,month,3,2026-01-08
SCH-TSK-0037,Schedule - TSK-0037,TSK-0037,month,3,2026-01-29
SCH-TSK-0038,Schedule - TSK-0038,TSK-0038,month,6,2026-02-19
SCH-TSK-0039,Schedule - TSK-0039,TSK-0039,month,1,2026-03-12
SCH-TSK-0040,Schedule - TSK-0040,TSK-0040,month,3,2026-04-02
SCH-TSK-0041,Schedule - TSK-0041,TSK-0041,month,3,2026-04-23
SCH-TSK-0042,Schedule - TSK-0042,TSK-0042,month,12,2026-05-14
SCH-TSK-0043,Schedule - TSK-0043,TSK-0043,week,1,2026-06-04
SCH-TSK-0044,Schedule - TSK-0044,TSK-0044,month,1,2026-06-25
SCH-TSK-0045,Schedule - TSK-0045,TSK-0045,week,2,2026-07-16
SCH-TSK-0047,Schedule - TSK-0047,TSK-0047,month,3,2026-08-27
SCH-TSK-0048,Schedule - TSK-0048,TSK-0048,month,6,2026-09-17
SCH-TSK-0049,Schedule - TSK-0049,TSK-0049,month,12,2026-10-08
SCH-TSK-0051,Schedule - TSK-0051,TSK-0051,month,6,2026-11-19
SCH-TSK-0052,Schedule - TSK-0052,TSK-0052,month,12,2026-12-10
SCH-TSK-0055,Schedule - TSK-0055,TSK-0055,month,6,2026-02-12
SCH-TSK-0056,Schedule - TSK-0056,TSK-0056,month,12,2026-03-05
SCH-TSK-0057,Schedule - TSK-0057,TSK-0057,month,12,2026-03-26
SCH-TSK-0059,Schedule - TSK-0059,TSK-0059,month,3,2026-05-07
