assuranceStatementId,regulationId
ASM-INC-001,REG-OSHA
ASM-INC-001,REG-NBC_INDIA
ASM-INC-001,REG-ISO_45001
ASM-INC-002,REG-US_FDA_GMP
ASM-INC-002,REG-EU_GMP_ANNEX_1
ASM-INC-002,REG-ISO_13485
ASM-INC-003,REG-FSMA
ASM-INC-003,REG-HACCP
ASM-INC-003,REG-FSSAI_SCHEDULE_4
ASM-INC-004,REG-USP
ASM-INC-004,REG-FDA_WATER_SYSTEMS_GU
ASM-INC-004,REG-ISO_22000
ASM-INC-005,REG-OSHA
ASM-INC-005,REG-ISO_45001
ASM-INC-006,REG-ISO_17025
ASM-INC-006,REG-FSSAI_PACKAGING_RULE
ASM-INC-007,REG-IEC_62443
ASM-INC-007,REG-NIST_CSF
