id,name,company
LOC-001,Bengaluru Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-002,Pune Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-003,Chennai Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-004,Gurugram Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-005,Bhiwandi (Mumbai) Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-006,Hyderabad Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-007,Ahmedabad Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-008,Kolkata Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-009,Jaipur Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-010,Coimbatore Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-011,Dartford (London) Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-012,Manchester Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-013,Birmingham Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-014,Leeds Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-015,Bristol Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-016,Glasgow Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-017,Sheffield Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-018,Nottingham Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-019,Milton Keynes Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
LOC-020,Warrington Industrial & Logistics Park,Vantage Industrial Parks & Logistics REIT
