id,name,company
ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__WAREHOUSE_OPERATIONS__SITE_OPERATIONS,Warehouse Operations - Site Operations,Vantage Industrial Parks & Logistics REIT
ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__EHS__SAFETY,EHS - Safety,Vantage Industrial Parks & Logistics REIT
ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__EHS__FIRE_LIFE_SAFETY,EHS - Fire & Life Safety,Vantage Industrial Parks & Logistics REIT
ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__FACILITIES_MANAGEMENT__FM_OPERATIONS,Facilities Management - FM Operations,Vantage Industrial Parks & Logistics REIT
ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__FACILITIES_MANAGEMENT__UTILITIES,Facilities Management - Utilities,Vantage Industrial Parks & Logistics REIT
ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__EHS__HAZMAT_CHEMICAL_SAFETY,EHS - Hazmat & Chemical Safety,Vantage Industrial Parks & Logistics REIT
ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__FACILITIES_MANAGEMENT__WASTE_MANAGEMENT,Facilities Management - Waste Management,Vantage Industrial Parks & Logistics REIT
ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__EHS__EMERGENCY_RESPONSE,EHS - Emergency Response,Vantage Industrial Parks & Logistics REIT
ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__SECURITY__SITE_SECURITY,Security - Site Security,Vantage Industrial Parks & Logistics REIT
ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__RISK_INSURANCE__RISK_MANAGEMENT,Risk & Insurance - Risk Management,Vantage Industrial Parks & Logistics REIT
ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__COMPLIANCE__COMPLIANCE,Compliance - Compliance,Vantage Industrial Parks & Logistics REIT
ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__FACILITIES_MANAGEMENT__VENDOR_MANAGEMENT,Facilities Management - Vendor Management,Vantage Industrial Parks & Logistics REIT
