id,name,businessUnit,department,approvalAuthority,organizationId
ROLE-001,Warehouse Operations Manager,Warehouse Operations,Site Operations,N,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__WAREHOUSE_OPERATIONS__SITE_OPERATIONS
ROLE-002,Shift Warehouse Supervisor,Warehouse Operations,Site Operations,N,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__WAREHOUSE_OPERATIONS__SITE_OPERATIONS
ROLE-003,EHS Officer (Site),EHS,Safety,N,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__EHS__SAFETY
ROLE-004,EHS Manager (Regional),EHS,Safety,Y,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__EHS__SAFETY
ROLE-005,Fire & Safety Officer,EHS,Fire & Life Safety,N,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__EHS__FIRE_LIFE_SAFETY
ROLE-006,Fire & Safety Manager,EHS,Fire & Life Safety,Y,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__EHS__FIRE_LIFE_SAFETY
ROLE-007,Facilities Executive,Facilities Management,FM Operations,N,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__FACILITIES_MANAGEMENT__FM_OPERATIONS
ROLE-008,Facilities Manager,Facilities Management,FM Operations,Y,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__FACILITIES_MANAGEMENT__FM_OPERATIONS
ROLE-009,MEP / Utilities Engineer,Facilities Management,Utilities,N,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__FACILITIES_MANAGEMENT__UTILITIES
ROLE-010,Hazardous Materials Coordinator,EHS,Hazmat & Chemical Safety,N,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__EHS__HAZMAT_CHEMICAL_SAFETY
ROLE-011,Waste Management Coordinator,Facilities Management,Waste Management,N,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__FACILITIES_MANAGEMENT__WASTE_MANAGEMENT
ROLE-012,Emergency Response Team Lead,EHS,Emergency Response,Y,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__EHS__EMERGENCY_RESPONSE
ROLE-013,Security & Access Control Officer,Security,Site Security,N,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__SECURITY__SITE_SECURITY
ROLE-014,Insurance & Risk Compliance Manager,Risk & Insurance,Risk Management,Y,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__RISK_INSURANCE__RISK_MANAGEMENT
ROLE-015,Regional Compliance Head,Compliance,Compliance,Y,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__COMPLIANCE__COMPLIANCE
ROLE-016,Fire Suppression Vendor Coordinator (AMC),Facilities Management,Vendor Management,N,ORG-VANTAGE_INDUSTRIAL_PARKS_LOGISTICS_REIT__FACILITIES_MANAGEMENT__VENDOR_MANAGEMENT
